word	x	y	nearest
diffidence	-1.97960077297	-15.9249856731	0.826
capacity	34.4598041116	-23.2935622533	0.840
playfulness	17.9466999359	49.6045367798	0.736
temptation	-27.303979048	-49.2413949833	0.758
gentleman	-14.7577852073	-64.0961641609	0.766
solicitude	-82.6459786494	-36.7598137693	0.888
grandmother	-33.1654472692	5.20393347608	0.863
score	-28.5715277812	-42.1541793458	0.897
gayer	83.231441306	39.8000164234	0.683
drawn	-47.9392715527	-8.04351391242	0.789
approach	-26.134197804	-23.4784901952	0.845
discovery	-31.6759021173	-48.6337925933	0.882
nature	-91.6498540407	-26.532906027	0.743
confusion	-63.1518761789	-56.8534734246	0.877
ignorance	-79.3612858335	-37.4162274536	0.895
toilette	55.1113522431	20.857031179	0.786
extent	-35.3200448495	-47.3777246782	0.891
defiance	-38.0256608872	-33.5897974584	0.900
news	-32.5562058637	-17.7278010785	0.776
debt	13.6342310059	-25.9063500806	0.819
kitchen	-39.8424668542	-66.3653350308	0.939
pity	31.0177446766	90.383700752	0.851
accident	20.0291740972	-34.3953953192	0.751
disdain	-24.2229267749	-2.36899150145	0.842
country	-21.9109086573	-99.6212398947	0.868
ill	-31.0868025473	62.0970416657	0.659
matrimony	-29.6575947871	20.554654562	0.817
sophia	40.2388990315	31.1359845839	0.739
marrying	-38.5363539287	44.6246526528	0.775
distinction	-21.3362837022	-21.3412183046	0.798
expense	-43.455141468	-27.2466408117	0.802
negotiation	19.9453107076	-1.32230651592	0.855
temptations	82.9432569968	20.6260189999	0.643
tone	-88.5737871758	-7.33207167846	0.754
honouring	53.4758426582	-10.4443117994	0.808
had	41.0993293363	-72.3482062657	0.733
trunk	27.3563610605	17.2403512844	0.751
height	-61.5781659987	-5.92736108844	0.886
comprehension	-50.7544257358	-5.11259685797	0.858
springs	39.8690063517	-11.3185849147	0.886
trust	23.6259818675	86.5992107718	0.819
longbourn	2.71583717718	-88.7766898797	0.890
speak	3.73460187216	101.285467832	0.785
gratitude	-50.6194966075	1.51414500027	0.812
generality	37.4407630098	-34.778356247	0.886
basis	42.6906559387	-21.8295331325	0.877
union	-2.65574482765	-26.6359907328	0.817
commission	-2.76781264003	44.2763613298	0.726
spread	-65.3522371418	57.110846839	0.795
interest	-90.3615603524	-37.4627398405	0.791
privilege	-8.93885183595	-25.4562668359	0.905
deliberately	-18.1355771687	47.4464696176	0.785
warmth	-71.421204428	-39.1926873029	0.877
duties	-67.7533224209	-50.7267886524	0.901
life	-91.8525829171	2.3508747821	0.731
prosperous	9.31062679128	48.1998189252	0.804
suppress	62.364338323	49.1526867393	0.783
inattention	0.595153928648	-35.5972815212	0.873
sunshine	57.6584207878	25.5202351173	0.723
excite	-11.3162743993	71.9709188686	0.834
search	10.5553385989	29.5946999032	0.827
uncommon	42.9166890895	50.0350677816	0.754
substance	-33.7313293407	-45.7091995019	0.873
child	-46.0872320652	38.8584185432	0.714
catch	0.819728832729	93.1701360519	0.901
exception	-16.772369613	-3.76559871603	0.868
apprehension	-40.6669318537	-48.845272611	0.851
twelvemonth	21.6722573398	-79.0192626856	0.755
air	-69.2948884857	-39.4985529379	0.855
lesser	61.4022957789	-9.69746010942	0.765
near	-1.99233366003	37.1557401857	0.608
stopping	4.67254581149	27.4694741507	0.779
aid	-7.81767057501	0.101130451266	0.836
voice	-57.7847725862	8.26907716305	0.704
leaves	-11.0741346158	-14.4757401753	0.824
mistake	30.2114218901	89.4267762844	0.827
remembering	-0.67734867332	18.1790373893	0.797
viscountess	16.5228510877	-37.9063092097	0.896
changed	0.196627185315	37.4388879436	0.783
congratulation	59.3842355125	-5.82203279535	0.723
throat	-31.7084323029	1.43969396004	0.897
splendour	1.12571346618	-24.6704255495	0.854
punctuality	33.5842518223	-2.99941398848	0.860
slighting	-8.28211730458	0.800983793673	0.877
severity	36.0836672141	-26.5704020674	0.877
parish	-45.809379453	-57.5978414093	0.891
authorise	28.5275388593	56.1979748143	0.754
wound	0.0711898975672	24.5555288327	0.802
harmony	7.61332141647	-50.8884439834	0.797
campbells	-48.1419218197	-95.2083979168	0.916
unconcern	-1.73603034351	-24.5728651292	0.858
exertion	-75.4319681291	-41.5961108197	0.901
independent	-79.2742178017	-30.0620369716	0.830
fuss	13.3136619657	51.3712615946	0.774
springing	14.1950507576	-28.265777286	0.906
swell	81.0593201749	29.5275644403	0.625
hang	65.7140787366	31.0313450402	0.607
rain	-28.8747177274	-59.4920193271	0.831
hand	-1.61634095457	-67.3378666958	0.784
delight	-60.0816333883	-43.2440183502	0.854
scale	48.4045402876	-15.3726288472	0.815
supper	-27.2020293345	-85.0096387953	0.902
opportunity	-86.219005867	-53.9036120273	0.807
butter	-19.7561267689	3.70933330281	0.902
mischance	68.3360480555	20.9191554299	0.630
incredulity	67.6988175868	5.35863941238	0.767
intrusion	58.7337414635	7.5237759039	0.709
suffering	-50.8376364786	-3.56918297451	0.758
unconcerned	4.29938082615	29.2577012233	0.795
approbation	-66.6289560139	-20.3606529238	0.853
mamma	75.4470830611	49.1037602904	0.749
greatest	-69.2330546327	-76.2904826959	0.857
mother	49.3921032428	-86.6118380771	0.889
yours	88.6733504918	51.6818593009	0.671
etiquette	67.0553222434	5.20720217205	0.729
consciousness	-74.6598929823	-56.8285228367	0.912
sentence	16.8425728735	-40.3013853684	0.780
sporting	63.5332464422	23.3642162332	0.718
repose	11.5516709565	-21.5982492546	0.791
thanks	-18.9476054857	19.7977472098	0.868
human	-91.6994799629	-24.6028413187	0.834
depart	58.0776610542	52.1969148541	0.673
yes	95.1092169518	58.8098981385	0.783
yet	37.0149049345	-67.1928765559	0.667
succeeding	-20.0725408936	-14.7304877358	0.852
previous	-53.8448350853	-16.2050354067	0.888
admittance	56.7223141574	31.78828486	0.735
dearer	83.6569129205	41.4164065051	0.787
meanly	66.5340171035	-11.5996390309	0.822
ease	-48.3657747211	1.55828479055	0.784
character	-82.665755449	8.74725051815	0.704
advancement	19.9835709843	-18.5083009607	0.835
passive	68.0125937634	27.009236162	0.778
belongs	18.3323597313	49.5807293961	0.736
board	16.9745137982	-53.6268158971	0.782
consideration	-19.2791439723	-14.3448693888	0.663
save	-16.6317863275	77.1393659013	0.901
hat	25.6119934549	-63.0378289624	0.742
humanity	-29.1412162509	18.8747401159	0.879
desire	-38.0690457392	66.6709796414	0.741
elevation	14.3612977669	-23.4919153161	0.806
boasted	-4.79851321832	-2.85942545722	0.856
sailors	87.5687643456	51.1874187266	0.721
disagreement	65.1524200173	-28.2117045346	0.733
chuse	22.3570211351	94.2541798234	0.884
injuring	76.49441708	-14.0068536822	0.826
birth	-54.2213795843	3.74253707413	0.880
affability	53.7601359201	24.4547823888	0.661
judge	20.776280433	94.1993721402	0.755
summons	33.4469273525	-10.2724010151	0.800
scruple	10.8727153245	82.9116582322	0.870
disadvantage	69.9828300862	2.18807182456	0.763
shoulder	19.7393201248	23.8845802106	0.843
dignity	-75.6754939955	-42.4991841709	0.911
disinclination	23.9687796169	42.77893445	0.750
gift	15.7979307998	-61.9631162031	0.847
gifted	39.3098480322	16.3911481714	0.792
quadrille	47.5392093685	8.36879666617	0.736
pavement	15.4268832959	-39.7147198117	0.884
regiment	12.4323935879	-43.0707025915	0.855
officer	34.4480856821	-56.6462486998	0.845
night	10.8700094365	-88.8437495873	0.852
security	-0.111207534135	-6.76565824715	0.810
effusion	67.5033467691	-14.2918397414	0.790
attorney	75.9780876831	24.2255211368	0.614
right	32.853915723	74.1401678215	0.627
deal	-87.825285817	21.4345267476	0.538
successfully	33.1801288794	-6.58542700801	0.880
crown	-48.8911837957	-93.6045180844	0.847
displeasure	-35.8989545161	25.0130885823	0.845
escape	0.342382405368	91.7392210053	0.829
dear	90.1277319394	58.3693484367	0.787
amiable	-86.2724394513	25.0015503114	0.782
animate	38.0642092506	66.7289504695	0.807
guess	28.4837829611	95.9979563124	0.853
rapidity	-30.5877050351	-29.7872212055	0.901
theatrical	-33.4152171426	-12.0739800807	0.908
proceeding	-8.02137344791	-68.4517888871	0.913
bottom	-50.0560923859	-77.8107005628	0.932
companions	-67.9415782099	-16.5327706219	0.887
contributing	-51.6615464539	30.4740918224	0.860
everything	48.0801747198	76.560138517	0.699
honoured	30.8389357034	23.5272764373	0.726
participation	33.323933025	-24.4588106394	0.790
dropped	3.31533498473	9.27837619388	0.860
payment	33.4271776052	-14.4759637148	0.860
illustration	75.6357383396	26.2886081202	0.590
bowing	80.9753863868	14.8010304485	0.659
shaken	48.1008291698	56.6723752512	0.732
nothings	33.5441787289	-4.12004292972	0.865
conceal	0.908973978495	92.1957639937	0.901
newspapers	14.6396371892	-4.69463829748	0.901
dinner	-25.3179903657	-89.2170411106	0.807
despair	52.1905300384	38.6215257493	0.744
afternoon	-53.1101429437	-73.3726077659	0.897
presence	-60.3532210957	-11.9923826124	0.848
puzzle	62.565841815	64.493777315	0.808
profession	-70.5929723674	22.9818699432	0.805
bath	49.900790005	-60.0190766073	0.809
respectable	-84.5531579284	31.6162979671	0.810
raises	66.5263707819	48.172970422	0.790
lieu	45.3793179785	2.56865714445	0.836
parade	-8.31225698707	-33.5415732385	0.864
deception	-2.14477008484	-3.70943698682	0.854
crowd	-51.3538403119	-31.2079244762	0.856
suffice	69.184321478	64.1148539457	0.797
flying	65.1684205233	20.7589459766	0.725
jealousy	-86.7607418519	-0.460972702226	0.800
personage	83.0206696218	20.644527182	0.608
class	39.141043542	-15.0381616521	0.723
avail	52.2985315902	49.5353597923	0.667
vehemence	72.4804645275	28.542594736	0.557
way	12.8226293236	-44.7818237199	0.603
greatness	-25.5625259951	5.81370707705	0.903
resulted	85.7404502093	21.8994469202	0.729
call	10.0336017219	102.298951184	0.857
purposely	23.3095037138	5.41042909703	0.820
head	52.9807514465	-77.8112572633	0.703
medium	50.2589052811	-1.31381196391	0.871
form	-16.9455363782	67.0169888496	0.858
offer	-18.6649464299	75.2506505636	0.776
lawn	-31.2397449197	-65.7659866946	0.909
landing	46.620409771	-19.7318394081	0.767
consolatory	63.7400418209	48.6319001828	0.673
failure	67.0397555498	-12.9136638826	0.801
heat	-24.0755044838	24.8535392933	0.778
hear	3.01919957599	102.494886955	0.810
liveliest	-30.3828063509	-31.466272021	0.892
minuteness	68.6596398991	15.2004943954	0.684
continuance	-43.115979008	-51.2094299618	0.915
absent	-19.4985737927	-68.5884788852	0.762
admiration	-71.185744094	-38.8896356793	0.875
pretension	50.4593521917	-40.3299131451	0.816
extremity	-5.46436691696	-28.7776550269	0.908
plymouth	25.9888026642	7.16467187091	0.830
nicest	24.5812829221	-17.114292392	0.831
submitting	-20.5185322413	37.2767050751	0.934
unusually	3.4804627052	-39.0966820208	0.937
temper	-82.2859301285	11.8573620475	0.781
disgrace	-15.8805387556	74.0126453516	0.813
impropriety	21.9342287573	-38.4788827219	0.827
request	-51.3754307168	6.80526509074	0.795
sneyd	62.3103295395	35.5279835158	0.803
drive	-8.4023070739	89.4766173983	0.796
soothe	-7.11401367532	70.0837205625	0.901
postscript	56.520928665	19.1832139821	0.799
guessed	33.3952246869	87.8290782453	0.875
accounting	64.6328657245	29.9528485615	0.635
ship	17.2619631729	-52.2678443263	0.874
solicitation	69.5321692237	28.7618434478	0.643
faithful	-23.0170285484	20.4198959089	0.824
aunts	-54.4034877998	-10.2763252052	0.853
floor	-30.7408312086	-68.5809060221	0.914
meanness	77.1276213307	6.81569684117	0.744
stake	-21.0702519053	48.8103015306	0.694
nd	-14.9099260952	-35.9907817129	0.881
tis	48.2136484767	32.7201887457	0.667
test	41.2985004696	13.3281199543	0.826
heyday	62.2166068776	35.3609215465	0.794
picture	-68.6911730711	1.7999949734	0.804
intend	67.2332188458	65.4242608282	0.832
felt	41.0306154964	-71.2573474245	0.704
partiality	-35.1265282637	16.3563400244	0.789
trepidation	35.0379599645	-4.16946870026	0.861
journey	-54.2731379376	-19.3083132675	0.798
dissipation	75.9098182504	4.24572900803	0.722
discharge	60.7619319708	17.059468188	0.838
