word	x	y	nearest
comprehension	56.0951457302	6.63187575333	0.301
trust	-67.446949708	36.9859271748	0.916
longbourn	-75.6141068642	-15.4976717966	0.971
speak	66.931926477	-8.18978586467	0.339
gratitude	-77.8975288729	-9.16215073057	0.969
generality	7.48600685019	-42.6238704207	0.240
basis	51.0027066225	-17.9146216987	0.213
union	33.2466200305	-3.08834242997	0.328
commission	12.334492903	85.9664256658	0.679
interest	-74.1639072101	-40.4413169099	0.981
privilege	-10.0666741945	76.47948125	0.712
warmth	-71.8844106314	-18.5963780533	0.970
life	-93.8366810488	-62.5411729571	0.994
efficacy	23.3718695214	-60.6212647048	0.275
inattention	44.6550611641	-0.445874073492	0.259
search	-16.0973992043	61.0968946685	0.736
substance	-12.3590573291	70.4079010904	0.746
child	-80.9602734989	16.1110761939	0.942
exception	15.9190467487	-16.7661886757	0.259
apprehension	13.2049243868	67.9548202343	0.572
arm-in-arm	6.88080097696	-75.2997214563	0.335
twelvemonth	10.3293552821	90.500723738	0.723
air	53.2515073341	53.6057793903	0.500
near	6.83781263797	-61.9505923742	0.387
stopping	-27.5707822041	-87.7478311978	0.552
coarseness	24.6465039489	-10.6832277958	0.243
voice	-74.123983347	-41.7015448431	0.984
mistake	-74.9416235151	9.63380125698	0.950
congratulation	54.6965255193	-15.3836959865	0.226
soliloquy	21.9522498911	-41.7950665141	0.285
throat	21.4282008261	-25.6800572573	0.276
splendour	-1.78780896432	-36.9477229413	0.357
punctuality	30.7428653505	70.5151090443	0.617
descent	-14.5274374229	82.4429878198	0.761
parish	27.9815498176	90.3906939874	0.618
make	-0.270439757694	-56.8159371816	0.360
wound	12.3371951441	93.0273182679	0.679
agreeableness	-24.0121752633	75.998756512	0.760
harmony	17.7236597346	48.6552625807	0.577
unconcern	36.4838016395	57.2164910163	0.604
exertion	-75.2642477849	1.17051842019	0.956
fuss	12.8921169034	-81.6206080141	0.450
ill-usage	31.2365021541	-12.0259328553	0.231
evil	-75.6069571709	-8.01725489176	0.962
hand	-76.9549916329	-21.3844364372	0.975
delight	-33.9621884831	-76.5603234541	0.521
action	-15.780533503	-88.4664967966	0.495
scale	10.4780548625	-61.2978299573	0.348
supper	23.747361326	35.2774709909	0.409
opportunity	-78.4541135562	-7.38256835751	0.967
tune	36.7033248306	-2.60488210788	0.241
mischance	2.08330671616	83.5763974878	0.625
narrow	-14.3516946745	-94.9505522017	0.526
incredulity	41.4177076528	31.4911451901	0.371
intrusion	27.1963280477	-27.0038499584	0.248
suffering	-25.4888745345	62.2696177798	0.810
approbation	26.5134011484	-45.7419692642	0.226
maidservant	21.4504859896	-35.6259732807	0.262
mamma	-52.1310613888	36.8093870084	0.890
mother	-92.2763200294	-62.572119238	0.989
milliner	51.1526621985	-9.80559041733	0.244
etiquette	15.4281674483	-4.31068731929	0.217
consciousness	-47.2282239457	-98.4931702418	0.796
sentence	-30.0073398869	81.3115792077	0.756
warmest	14.7369576558	2.61428774742	0.268
repose	28.6068547808	54.521263641	0.565
farther	78.4108106118	26.3389441221	0.333
yes	-49.9053296786	39.152213796	0.884
emergence	12.6500206748	-56.8326551591	0.274
ham	0.926427363263	1.0804129476	0.252
mix	38.5881562447	0.867261160268	0.303
ease	-72.2562469676	-22.4578146474	0.972
character	-68.1105467741	-26.3510572723	0.977
advancement	-20.3752337726	-40.3456958788	0.258
ma'am	-79.9025222122	-7.08409565364	0.966
spread	40.0458458703	-6.71501839537	0.293
affinity	30.5161345763	-26.0877993455	0.230
board	-19.954973483	83.9240079015	0.740
artlessness	18.1620998759	-45.9955195475	0.268
vanity	-71.1107529145	22.994274009	0.922
hat	-1.88027569232	-83.2260432384	0.434
humanity	-11.3405724789	77.9662849497	0.707
desire	-48.0998695879	67.7877848687	0.857
solitude	-46.1327326371	58.4711093487	0.839
elevation	58.5618083323	3.74998039441	0.301
disagreement	43.6929848987	-42.7230704076	0.222
chuse	22.8286137779	-48.3053381576	0.257
birth	37.141055013	19.100918494	0.289
affability	-27.5959703575	-91.8048172819	0.591
judge	-76.1384506594	-3.34614684744	0.965
scruple	35.3980314107	-25.757850496	0.221
disadvantage	36.919863913	-3.1879813363	0.248
shoulder	-42.0966804588	-93.0260427729	0.759
dignity	-4.10542757473	85.798610797	0.700
gift	-10.2319530407	79.0415228911	0.736
