word	x	y	nearest
muslin	-26.5813484818	-45.5403764821	0.488
honour	-33.3452260696	89.607278943	0.986
clerk	-4.09132497877	-52.1241865007	0.255
understanding	-70.7026000139	-46.4868107319	0.721
water	27.0775029464	77.1888436611	0.736
pleasantest	6.42595881802	-45.8579551497	0.322
address	-71.4555184679	-24.5292828566	0.729
change	-55.7887608625	88.8432088936	0.976
wait	-48.0223528058	23.2942280392	0.892
boy	54.1453179437	34.7529320868	0.384
merriment	28.8050092998	-31.0880666915	0.228
parasol	29.25756335	-28.2235253452	0.256
boast	45.5637889726	31.3488872588	0.464
bow	32.3487230287	31.1311381757	0.332
trial	-62.2408083033	-43.9490541207	0.715
suggestion	-13.5190527279	-41.3099126386	0.403
hospitality	48.0672565524	58.9223279157	0.550
love	-24.4716961719	86.6145107448	0.984
humour	-61.0864910837	45.1360923493	0.929
connivance	65.6090110222	-28.0437541904	0.238
market	-32.1515302972	-53.8114154268	0.483
everybody	-67.9926922702	-18.3385611585	0.754
wealth	-73.7328389764	-7.44994598583	0.715
sake	-78.1139307006	-8.05963075361	0.756
ingenuity	-77.786238311	-42.6614694052	0.668
visit	-76.8389447236	60.938079516	0.950
vigour	-20.457507459	-61.3003203425	0.483
wood	48.6314235572	67.3822040506	0.610
prey	-14.803442535	-80.6870010809	0.469
memory	-12.0522312375	-47.9844809914	0.462
dismay	31.0511038338	-40.0490181709	0.267
entrance	-54.5687782342	37.9634469152	0.915
sharing	12.469965168	-14.1790782674	0.302
condescension	35.2495064548	76.7657450843	0.616
altar	51.3728858184	31.746933145	0.276
repentance	-21.9725561425	-46.6628597733	0.522
envelope	41.0106020244	-49.5927808587	0.233
breakfast-parlour	53.8634071122	-28.3250699283	0.265
clue	20.622418673	26.9219523931	0.225
virtue	-46.6693487462	-4.66398500231	0.814
effort	45.5836459721	-57.5030013707	0.239
behalf	-63.647132459	-7.52788936934	0.792
pretend	-70.1843269108	-27.1030748881	0.780
soul	65.0427419473	-6.61735482446	0.249
soup	-6.53648798472	-75.2645945532	0.457
following	-69.3442513196	-58.3262924089	0.644
indolence	-22.7449497554	-50.3072941678	0.498
laughter	41.4695862201	19.1379659534	0.360
heart	-15.0507774564	88.826878578	0.991
